reservoir,item,3-Aug-21,4-Aug-21,5-Aug-21,6-Aug-21,7-Aug-21,9-Aug-21,10-Aug-21,11-Aug-21,12-Aug-21,14-Aug-21,16-Aug-21,17-Aug-21,18-Aug-21,19-Aug-21,23-Aug-21,25-Aug-21,26-Aug-21,27-Aug-21,30-Aug-21,31-Aug-21,1-Sep-21,2-Sep-21,3-Sep-21,6-Sep-21,7-Sep-21,8-Sep-21,11-Sep-21,13-Sep-21,14-Sep-21,15-Sep-21
Malaprabha,PS,32.21,32.47,32.86,33.06,33.52,34.05,34.31,34.31,34.31,34.58,34.85,34.98,35.12,35.25,35.66,35.93,36.07,36.07,36.21,36.41,36.62,36.62,36.62,36.62,36.62,36.62,37.31,37.73,37.73,37.73
Almatti,PS,99.91,107.57,108.03,109.29,114.9,117.38,115.06,116.53,118.39,121.96,122.31,122.83,123.01,122.66,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,122.06,122.48,122.13,119.4
Narayanapura,PS,28.69,29.82,30.13,30.39,31.45,30.96,31.23,31.23,30.43,28.94,32.33,32.6,32.05,31.96,32.19,32.84,32.42,31.86,31.96,31.96,32.23,32.28,31.96,30.83,31.18,31.5,32.84,32.7,32.09,30.13
Linganamakki,InFlow,15012,32829,27850,24319,24716,14645,12679,9977,11174,6319,9245,7541,9225,9817,5060,5444,4982,7741,7112,6724,5620,9229,7745,7050,12748,15037,13668,33258,29400,20093
Supa,InFlow,12904,16613,21496,19396,16037,8272,7072,5142,5550,5117,4278,4952,4649,4279,3171,3383,2983,2554,3400,2558,2679,3915,3306,8869,8856,6990,8942,14495,21849,8174
Varahi,InFlow,2440,7363,4567,4282,4867,2400,1800,1499,1800,1215,3461,315,315,1258,629,315,944,315,1451,1683,1573,1289,1318,1647,1647,2307,1334,4439,4139,3104
Harangi,InFlow,3220,6619,4518,7487,12557,8304,5564,4428,3322,3725,5387,3395,2939,2973,2160,1668,1124,923,2537,3320,2471,2229,2604,4463,4294,6682,3153,3928,5024,5118
Hemavathi,InFlow,5605,6457,11978,11709,11532,7516,6230,4164,3828,3195,3309,2636,3924,3600,2590,1866,2080,1897,2911,2642,2879,2442,1829,2373,3433,4739,5076,9601,9960,9978
KRS,InFlow,7479,6287,8686,14916,21454,25066,13108,9725,5991,3896,3690,3367,4256,3367,5723,3957,2701,2317,3836,5169,5670,5448,5721,7538,10223,9645,11391,8902,14052,15730
Kabini,InFlow,4652,5077,5833,6879,11018,10840,9741,6172,4695,3656,5301,3737,4634,4608,2870,3592,2878,2774,6443,6240,4736,3710,4111,5225,4567,5140,4233,8483,12906,12014
Bhadra,InFlow,6083,8781,15206,13217,19402,12411,10647,8327,5909,5239,5889,5197,4996,5064,4740,4085,3299,2982,5063,5677,3547,4570,3751,3450,3751,4052,5353,7781,14296,12507
Tungabhadra,InFlow,29500,24945,25278,40913,51564,72369,76337,36679,29244,29174,15558,18304,14181,14257,14507,11143,8190,4857,14690,18757,21380,13635,15195,14758,11856,10340,25169,17656,14894,36631
Ghataprabha,InFlow,7715,7535,12438,15154,13177,6842,3294,3500,4459,7644,5123,4265,4689,4666,1932,2463,3141,3121,1827,1184,879,384,382,1426,1579,1727,6662,11243,13407,11993
Malaprabha,InFlow,4692,4703,6185,3788,6741,4572,4611,1544,1544,4582,2245,2356,2456,2445,494,2080,1980,582,2491,3278,3378,1182,1294,1394,1394,1394,3614,5026,4019,5027
Almatti,InFlow,309050,250508,174340,101201,108844,82828,50089,39559,24098,20330,20380,27276,32485,28467,20846,12344,1734,2226,13377,6140,9088,5166,4119,2141,5432,8176,48800,53516,67030,91611
Narayanapura,InFlow,218533,174979,167257,116524,45484,82518,90925,27063,741,196,36948,19082,28987,31786,16265,11162,292,483,141019,4951,7640,4904,1949,1930,8829,7776,61317,61521,82297,119735
Linganamakki,OutFlow,5177,4810,5208,4251,4731,6060,5526,5158,5188,6175,5588,6180,5569,4984,4867,5268,7142,1593,4632,5417,5460,5586,7571,4555,4463,4433,6509,5710,4235,4950
Supa,OutFlow,4697,4242,709,4712,3364,2728,3654,3430,3408,4688,38449,3666,2931,4279,1018,1661,4704,4706,821,1700,2677,3489,4598,2828,1934,49,2374,1736,2828,2844
Varahi,OutFlow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,425,0,0,0,0,0,0,0,645,0,0
Harangi,OutFlow,2440,3136,7850,9683,9662,4743,4470,4470,2816,1966,2100,2850,2433,2350,1850,1750,1832,1749,1600,1600,1808,2350,2725,4035,3553,4766,3350,3968,3850,5628
Hemavathi,OutFlow,5550,5650,8380,10580,5950,6005,5055,4105,4105,425,4705,4725,4725,4725,4895,4920,4920,4920,5120,5160,5190,5190,5272,5272,5247,5082,5222,5222,5222,5297
KRS,OutFlow,5453,5320,5336,5308,5393,5452,5505,5383,5503,5482,5572,5545,5545,5545,5545,7020,8612,9098,9552,9715,9675,9648,9609,10885,10860,10802,10945,10894,10896,10948
Kabini,OutFlow,2500,2500,2700,3554,5450,11450,10700,5917,2556,2450,3075,3842,4363,4488,2750,5417,6750,6750,51,6750,6750,6750,6750,2488,1950,1950,1950,1950,9171,12867
Bhadra,OutFlow,3144,3144,3609,6608,18465,13604,7048,8929,5609,4336,4396,4896,4996,5064,3837,3483,3901,3896,63,3246,3247,3668,3751,3751,3751,3751,4751,6867,15812,14025
Tungabhadra,OutFlow,26383,16039,39971,37796,57324,69805,80183,21773,10988,18487,15113,14742,14181,14257,14507,14705,14869,14653,10683,10743,11141,12744,10742,17070,15418,10340,21161,18992,16675,37076
Ghataprabha,OutFlow,11660,3589,4525,24487,16649,1799,1381,1587,1589,3776,5123,4265,4689,4666,1932,2463,3141,3121,1827,1184,879,384,382,1426,1579,1727,6662,11243,13407,12143
Malaprabha,OutFlow,1694,1694,1694,1519,1394,1516,1544,2894,1544,869,694,894,894,894,494,494,394,582,894,894,994,1182,1294,1394,1394,1394,1994,2594,4019,5027
Almatti,OutFlow,201331,161852,168912,86721,43904,76960,76918,22511,2582,2507,28507,21189,30446,32530,20846,12344,1734,2226,13377,6140,9088,5166,4119,2141,5432,8176,53685,55553,71092,123196
Narayanapura,OutFlow,175030,161874,163751,113477,33123,88236,87817,27063,9987,8953,7994,15850,35425,32850,13070,9534,5160,6889,5089,4951,4441,4369,5684,5545,4695,4122,64043,49235,89286,142515
